,grid,rank,grid_tmp
232,2652,2652,2652
2360,2652,2652,2652
1943,2652,2652,2652
2513,2652,2652,2652
1803,2652,2652,2652
813,2652,2652,2652
2250,2652,2652,2652
1792,2652,2652,2652
1845,2652,2652,2652
2136,2652,2652,2652
2091,2652,2652,2652
2421,2652,2652,2652
2249,2652,2652,2652
1896,2652,2652,2652
2296,2652,2652,2652
2546,2652,2652,2652
2549,2652,2652,2652
2402,2652,2652,2652
2610,2652,2652,2652
1221,2652,2652,2652
2143,2652,2652,2652
2320,2652,2652,2652
2038,2652,2652,2652
1740,2652,2652,2652
2414,2652,2652,2652
2524,2652,2652,2652
1844,2652,2652,2652
2200,2652,2652,2652
2202,2652,2652,2652
704,2652,2652,2652
